S1533010.020958
Kangaroa 30/03/2015 10:02:08 30/03/2015 10:02:09 0560 0176.5 0038.5 -0.40 0.00 22.0 1013.0
-2.5 -2.5 00.0  00.0 -2.6 00.2  00.0
0000020 0020 0000000 0000 02
1 0 1 16340 1 0780 7.50 00355.o 0 0 00 000 12 000020 0.500 BT0
1 1 1 16340 1 0750 7.50 00355.p 0 0 00 000 00 000020 4.3651 BC0
355.000 .o analog 0 	355.000 .p photon 0 
  4.4556	  1.0000
  4.4617	  0.0000
  4.4800	  0.0000
  4.4434	  0.0000
  4.4678	  0.0000
  4.4861	  0.0000
  4.4678	  0.0000
  4.4434	  1.0000
  4.4678	  0.0000
  4.4678	  0.0000
  4.4495	  0.0000
  4.4556	  0.0000
  4.4434	  0.0000
  4.4495	  0.0000
  4.4739	  0.0000
  4.4800	  0.0000
  4.4678	  0.0000
  4.4556	  0.0000
  4.4861	  1.0000
  4.4556	  0.0000
  4.4556	  0.0000
  4.4556	  0.0000
  4.4556	  1.0000
  4.4495	  1.0000
  4.4800	  0.0000
  4.4678	  0.0000
  4.4495	  1.0000
  4.4861	  0.0000
  4.4678	  0.0000
  4.4617	  1.0000
  4.4495	  0.0000
  4.4617	  0.0000
  4.4739	  0.0000
  4.4617	  0.0000
  4.4861	  0.0000
  4.4556	  1.0000
  4.4739	  1.0000
  4.4617	  0.0000
  4.5044	  0.0000
  4.4983	  0.0000
  4.4800	  0.0000
  4.4617	  1.0000
  4.4861	  0.0000
  4.4556	  0.0000
  4.4861	  0.0000
  4.4495	  0.0000
  4.4678	  0.0000
  4.4373	  0.0000
  4.4556	  1.0000
  4.4922	  0.0000
  4.4922	  0.0000
  4.4495	  1.0000
  4.4434	  0.0000
  4.4434	  1.0000
  4.4556	  0.0000
  4.4189	  0.0000
  4.4739	  1.0000
  4.4434	  1.0000
  4.4312	  0.0000
  4.4922	  2.0000
  4.4739	  0.0000
  4.4983	  0.0000
  4.4800	  0.0000
  4.4800	  0.0000
  4.4495	  0.0000
  4.4800	  1.0000
  4.4739	  0.0000
  4.4739	  0.0000
  4.4678	  0.0000
  4.4739	  0.0000
  4.4495	  0.0000
  4.4739	  0.0000
  4.4739	  0.0000
  4.4739	  0.0000
  4.4739	  2.0000
  4.4678	  0.0000
  4.4922	  0.0000
  4.4556	  0.0000
  4.4678	  1.0000
  4.4617	  0.0000
  4.4739	  1.0000
  4.4495	  0.0000
  4.4739	  0.0000
  4.4861	  0.0000
  4.4495	  0.0000
  4.4617	  0.0000
  4.4739	  1.0000
  4.4800	  0.0000
  4.4678	  0.0000
  4.4922	  0.0000
  4.4861	  1.0000
  4.4800	  1.0000
  4.4739	  1.0000
  4.5044	  0.0000
  4.4922	  0.0000
  4.4678	  0.0000
  4.4312	  0.0000
  4.4800	  0.0000
  4.4739	  1.0000
  4.4678	  0.0000
  4.4189	  0.0000
  4.4617	  0.0000
  4.4739	  1.0000
  4.4800	  0.0000
  4.4678	  2.0000
  4.4556	  0.0000
  4.5105	  0.0000
  4.4495	  0.0000
  4.4617	  1.0000
  4.4556	  1.0000
  4.4556	  0.0000
  4.4861	  0.0000
  4.4495	  1.0000
  4.4739	  0.0000
  4.4678	  0.0000
  4.4495	  0.0000
  4.4556	  0.0000
  4.4861	  0.0000
  4.4800	  1.0000
  4.4617	  0.0000
  4.4617	  1.0000
  4.4556	  0.0000
  4.4556	  0.0000
  4.4983	  1.0000
  4.4373	  0.0000
  4.4800	  0.0000
  4.4434	  1.0000
  4.4556	  1.0000
  4.4617	  0.0000
  4.4617	  0.0000
  4.4678	  0.0000
  4.4495	  1.0000
  4.4922	  0.0000
  4.4556	  1.0000
  4.4739	  0.0000
  4.4617	  0.0000
  4.4861	  0.0000
  4.4800	  2.0000
  4.4495	  0.0000
  4.4617	  0.0000
  4.4861	  1.0000
  4.4739	  0.0000
  4.4800	  0.0000
  4.4250	  1.0000
  4.4617	  0.0000
  4.4678	  0.0000
  4.4739	  0.0000
  4.4678	  1.0000
  4.4678	  0.0000
  4.4556	  0.0000
  4.4373	  0.0000
  4.4678	  1.0000
  4.4678	  2.0000
  4.4617	  0.0000
  4.4922	  0.0000
  4.4434	  0.0000
  4.4617	  0.0000
  4.4800	  0.0000
  4.4861	  0.0000
  4.4617	  0.0000
  4.4922	  0.0000
  4.4617	  0.0000
  4.4678	  1.0000
  4.4556	  2.0000
  4.4922	  0.0000
  4.4556	  0.0000
  4.4495	  0.0000
  4.4312	  0.0000
  4.4373	  0.0000
  4.4739	  0.0000
  4.4617	  0.0000
  4.4556	  0.0000
  4.5105	  0.0000
  4.4617	  0.0000
  4.4922	  0.0000
  4.4617	  0.0000
  4.4678	  0.0000
  4.4617	  1.0000
  4.4800	  0.0000
  4.4678	  0.0000
  4.4922	  1.0000
  4.5105	  0.0000
  4.4617	  0.0000
  4.4678	  0.0000
  4.4250	  0.0000
  4.5044	  0.0000
  4.4739	  1.0000
  4.4312	  1.0000
  4.4800	  0.0000
  4.4434	  0.0000
  4.4495	  0.0000
  4.4495	  0.0000
  4.4617	  0.0000
  4.4617	  0.0000
  4.4495	  0.0000
  4.4739	  0.0000
  4.4556	  0.0000
  4.4495	  0.0000
  4.4495	  0.0000
  4.4312	  0.0000
  4.4556	  0.0000
  4.4800	  1.0000
  4.4556	  0.0000
  4.4495	  0.0000
  4.4617	  0.0000
  4.4556	  0.0000
  4.4373	  0.0000
  4.4861	  0.0000
  4.4556	  2.0000
  4.4556	  0.0000
  4.4617	  0.0000
  4.4617	  0.0000
  4.4617	  0.0000
  4.4739	  0.0000
  4.4922	  0.0000
  4.4739	  0.0000
  4.4373	  0.0000
  4.4739	  0.0000
  4.4617	  1.0000
  4.5166	  1.0000
  4.4678	  1.0000
  4.4617	  0.0000
  4.4495	  0.0000
  4.4617	  0.0000
  4.4617	  0.0000
  4.4495	  0.0000
  4.4495	  1.0000
  4.4617	  1.0000
  4.4556	  0.0000
  4.4312	  0.0000
  4.4678	  0.0000
  4.4739	  0.0000
  4.4373	  1.0000
  4.4922	  0.0000
  4.4617	  0.0000
  4.4250	  0.0000
  4.4983	  3.0000
  4.4312	  0.0000
  4.4434	  1.0000
  4.4922	  1.0000
  4.4373	  0.0000
  4.4800	  1.0000
  4.4800	  0.0000
  4.4556	  0.0000
  4.4983	  0.0000
  4.4556	  0.0000
  4.4495	  0.0000
  4.4678	  0.0000
  4.4617	  0.0000
  4.4678	  2.0000
  4.4739	  1.0000
  4.4617	  1.0000
  4.4617	  0.0000
  4.4556	  0.0000
  4.4800	  1.0000
  4.4617	  0.0000
  4.4800	  0.0000
  4.4617	  0.0000
  4.4739	  0.0000
  4.4739	  0.0000
  4.4739	  0.0000
  4.4800	  0.0000
  4.4800	  0.0000
  4.4556	  0.0000
  4.4678	  0.0000
  4.4678	  0.0000
  4.4556	  0.0000
  4.4495	  0.0000
  4.4617	  0.0000
  4.4556	  0.0000
  4.4556	  0.0000
  4.4434	  0.0000
  4.4678	  0.0000
  4.4800	  0.0000
  4.4983	  1.0000
  4.4495	  0.0000
  4.4495	  0.0000
  4.4678	  0.0000
  4.4373	  0.0000
  4.4373	  1.0000
  4.4922	  0.0000
  4.4922	  1.0000
  4.4312	  0.0000
  4.4556	  0.0000
  4.4556	  0.0000
  4.4495	  0.0000
  4.4739	  0.0000
  4.4617	  0.0000
  4.4861	  0.0000
  4.4373	  0.0000
  4.4617	  2.0000
  4.4617	  0.0000
  4.4495	  0.0000
  4.4983	  0.0000
  4.4800	  0.0000
  4.4556	  1.0000
  4.4678	  0.0000
  4.4678	  0.0000
  4.4983	  0.0000
  4.4922	  0.0000
  4.4617	  0.0000
  4.4678	  0.0000
  4.4556	  1.0000
  4.5349	  0.0000
  4.4373	  0.0000
  4.4373	  0.0000
  4.4739	  0.0000
  4.4495	  0.0000
  4.4800	  0.0000
  4.4922	  0.0000
  4.4678	  0.0000
  4.4739	  0.0000
  4.4739	  1.0000
  4.4434	  0.0000
  4.4250	  0.0000
  4.4434	  0.0000
  4.4983	  0.0000
  4.4861	  0.0000
  4.4678	  0.0000
  4.4861	  0.0000
  4.4434	  0.0000
  4.4678	  0.0000
  4.4556	  0.0000
  4.4800	  0.0000
  4.4434	  1.0000
  4.4373	  0.0000
  4.4861	  1.0000
  4.4556	  0.0000
  4.4861	  1.0000
  4.4922	  1.0000
  4.4983	  0.0000
  4.4739	  0.0000
  4.4678	  0.0000
  4.4922	  0.0000
  4.4678	  1.0000
  4.4800	  0.0000
  4.4678	  0.0000
  4.4922	  0.0000
  4.4495	  0.0000
  4.4678	  2.0000
  4.4739	  0.0000
  4.4434	  0.0000
  4.4617	  0.0000
  4.4556	  0.0000
  4.4434	  0.0000
  4.4678	  0.0000
  4.4739	  2.0000
  4.4739	  0.0000
  4.4861	  0.0000
  4.4373	  0.0000
  4.4495	  0.0000
  4.4373	  1.0000
  4.4373	  1.0000
  4.4556	  0.0000
  4.4678	  0.0000
  4.4617	  0.0000
  4.4617	  0.0000
  4.4678	  0.0000
  4.4556	  1.0000
  4.4434	  1.0000
  4.4128	  0.0000
  4.4495	  0.0000
  4.4312	  0.0000
  4.4312	  0.0000
  4.4617	  0.0000
  4.4861	  0.0000
  4.4800	  0.0000
  4.5044	  1.0000
  4.4739	  0.0000
  4.4861	  1.0000
  4.4495	  0.0000
  4.4800	  1.0000
  4.4434	  0.0000
  4.4556	  1.0000
  4.4861	  0.0000
  4.4617	  0.0000
  4.4556	  0.0000
  4.4434	  0.0000
  4.4617	  0.0000
  4.4922	  0.0000
  4.4556	  0.0000
  4.4556	  0.0000
  4.4495	  0.0000
  4.4617	  1.0000
  4.4617	  0.0000
  4.4678	  2.0000
  4.4800	  0.0000
  4.4434	  1.0000
  4.4922	  0.0000
  4.4739	  1.0000
  4.4800	  0.0000
  4.4739	  1.0000
  4.4678	  0.0000
  4.4739	  0.0000
  4.4617	  0.0000
  4.4434	  0.0000
  4.5044	  0.0000
  4.4556	  0.0000
  4.4678	  0.0000
  4.4800	  0.0000
  4.4739	  0.0000
  4.4678	  2.0000
  4.4556	  1.0000
  4.4678	  0.0000
  4.4373	  1.0000
  4.4800	  1.0000
  4.4678	  2.0000
  4.4678	  0.0000
  4.4373	  0.0000
  4.4922	  0.0000
  4.4617	  0.0000
  4.4556	  1.0000
  4.4312	  0.0000
  4.4495	  0.0000
  4.4983	  0.0000
  4.4678	  0.0000
  4.4434	  0.0000
  4.4434	  0.0000
  4.4678	  0.0000
  4.4678	  1.0000
  4.4678	  1.0000
  4.4800	  0.0000
  4.4495	  0.0000
  4.4617	  1.0000
  4.4373	  0.0000
  4.4800	  0.0000
  4.4800	  2.0000
  4.4434	  0.0000
  4.5105	  0.0000
  4.4800	  1.0000
  4.4128	  0.0000
  4.4922	  1.0000
  4.5105	  0.0000
  4.4617	  0.0000
  4.4983	  0.0000
  4.4678	  0.0000
  4.4617	  0.0000
  4.4556	  1.0000
  4.4922	  1.0000
  4.4495	  0.0000
  4.4556	  0.0000
  4.4556	  1.0000
  4.4800	  0.0000
  4.4678	  1.0000
  4.4556	  0.0000
  4.5227	  1.0000
  4.4556	  1.0000
  4.4800	  1.0000
  4.4922	  2.0000
  4.5105	  0.0000
  4.4800	  1.0000
  4.4128	  0.0000
  4.4556	  0.0000
  4.4556	  0.0000
  4.4800	  0.0000
  4.4922	  0.0000
  4.4922	  1.0000
  4.4861	  0.0000
  4.4739	  0.0000
  4.4678	  0.0000
  4.4739	  0.0000
  4.4434	  0.0000
  4.4739	  1.0000
  4.4495	  1.0000
  4.4495	  1.0000
  4.4861	  1.0000
  4.4495	  2.0000
  4.4983	  1.0000
  4.4617	  0.0000
  4.4678	  0.0000
  4.5227	  0.0000
  4.4617	  0.0000
  4.4373	  1.0000
  4.4617	  0.0000
  4.4800	  0.0000
  4.4861	  1.0000
  4.4678	  0.0000
  4.4739	  2.0000
  4.4434	  0.0000
  4.4556	  1.0000
  4.4617	  1.0000
  4.4739	  1.0000
  4.4800	  1.0000
  4.4495	  0.0000
  4.4861	  1.0000
  4.4617	  1.0000
  4.4739	  0.0000
  4.4617	  0.0000
  4.4922	  0.0000
  4.4983	  0.0000
  4.4434	  1.0000
  4.4800	  0.0000
  4.4678	  0.0000
  4.4861	  0.0000
  4.4434	  0.0000
  4.4556	  1.0000
  4.4556	  0.0000
  4.4617	  1.0000
  4.4739	  0.0000
  4.5044	  0.0000
  4.4556	  0.0000
  4.4495	  1.0000
  4.4678	  0.0000
  4.4861	  1.0000
  4.4983	  1.0000
  4.4739	  0.0000
  4.4434	  1.0000
  4.4556	  0.0000
  4.4739	  0.0000
  4.4434	  0.0000
  4.4861	  0.0000
  4.4556	  0.0000
  4.4983	  1.0000
  4.4678	  0.0000
  4.4678	  1.0000
  4.4861	  0.0000
  4.4983	  0.0000
  4.4739	  1.0000
  4.4128	  0.0000
  4.4617	  0.0000
  4.4922	  1.0000
  4.4678	  0.0000
  4.4739	  0.0000
  4.4922	  1.0000
  4.4678	  0.0000
  4.4617	  0.0000
  4.4556	  0.0000
  4.4678	  2.0000
  4.4800	  0.0000
  4.4800	  0.0000
  4.4739	  2.0000
  4.4556	  0.0000
  4.4983	  1.0000
  4.4495	  0.0000
  4.4800	  1.0000
  4.4800	  0.0000
  4.4556	  0.0000
  4.4678	  0.0000
  4.4861	  0.0000
  4.4495	  3.0000
  4.4800	  0.0000
  4.4678	  0.0000
  4.4983	  0.0000
  4.4739	  1.0000
  4.4678	  0.0000
  4.4922	  0.0000
  4.4678	  0.0000
  4.4861	  1.0000
  4.4739	  0.0000
  4.4800	  0.0000
  4.5105	  0.0000
  4.5044	  0.0000
  4.4678	  0.0000
  4.4373	  0.0000
  4.4556	  0.0000
  4.4739	  0.0000
  4.4495	  1.0000
  4.4739	  2.0000
  4.4739	  0.0000
  4.4739	  1.0000
  4.4800	  1.0000
  4.4556	  1.0000
  4.4800	  0.0000
  4.4678	  0.0000
  4.4739	  0.0000
  4.4861	  1.0000
  4.4556	  1.0000
  4.4495	  1.0000
  4.4739	  0.0000
  4.4739	  0.0000
  4.4800	  0.0000
  4.4617	  0.0000
  4.4617	  0.0000
  4.4556	  1.0000
  4.4556	  1.0000
  4.4434	  0.0000
  4.4678	  1.0000
  4.4556	  0.0000
  4.4373	  0.0000
  4.4556	  0.0000
  4.4861	  1.0000
  4.4434	  1.0000
  4.4617	  1.0000
  4.4617	  1.0000
  4.4678	  0.0000
  4.4617	  1.0000
  4.4617	  0.0000
  4.4617	  2.0000
  4.4434	  0.0000
  4.4800	  0.0000
  4.4861	  0.0000
  4.4678	  0.0000
  4.4373	  0.0000
  4.4800	  0.0000
  4.4678	  0.0000
  4.4617	  0.0000
  4.4678	  1.0000
  4.5044	  0.0000
  4.4556	  1.0000
  4.4373	  2.0000
  4.4556	  0.0000
  4.4678	  1.0000
  4.4861	  0.0000
  4.4556	  0.0000
  4.4861	  0.0000
  4.4495	  0.0000
  4.4495	  0.0000
  4.4434	  0.0000
  4.4678	  1.0000
  4.4800	  0.0000
  4.4922	  1.0000
  4.4678	  1.0000
  4.4495	  0.0000
  4.4678	  1.0000
  4.4739	  2.0000
  4.4800	  0.0000
  4.4739	  0.0000
  4.4678	  0.0000
  4.4617	  0.0000
  4.4739	  0.0000
  4.4922	  2.0000
  4.4922	  0.0000
  4.4678	  1.0000
  4.4556	  0.0000
  4.4678	  0.0000
  4.4739	  1.0000
  4.4800	  0.0000
  4.4678	  1.0000
  4.4678	  0.0000
  4.4861	  1.0000
  4.5044	  1.0000
  4.4983	  1.0000
  4.4617	  0.0000
  4.4983	  1.0000
  4.5105	  1.0000
  4.4434	  1.0000
  4.4678	  0.0000
  4.4495	  0.0000
  4.4739	  0.0000
  4.4739	  0.0000
  4.4922	  0.0000
  4.4922	  1.0000
  4.4556	  1.0000
  4.5105	  0.0000
  4.4800	  1.0000
  4.4617	  0.0000
  4.4861	  0.0000
  4.4617	  0.0000
  4.4434	  1.0000
  4.4556	  0.0000
  4.4800	  0.0000
  4.4739	  1.0000
  4.4556	  0.0000
  4.4739	  1.0000
  4.4739	  0.0000
  4.4861	  1.0000
  4.4739	  0.0000
  4.4983	  0.0000
  4.4983	  0.0000
  4.4922	  0.0000
  4.4739	  0.0000
  4.4556	  0.0000
  4.4250	  0.0000
  4.4678	  1.0000
  4.5105	  0.0000
  4.4739	  0.0000
  4.4739	  0.0000
  4.4922	  2.0000
  4.4739	  1.0000
  4.4495	  0.0000
  4.4250	  0.0000
  4.4983	  0.0000
  4.4922	  1.0000
  4.4739	  0.0000
  4.4678	  0.0000
  4.4861	  0.0000
  4.4983	  0.0000
  4.4800	  2.0000
  4.4983	  0.0000
  4.4556	  2.0000
  4.4800	  1.0000
  4.4617	  0.0000
  4.4678	  0.0000
  4.4800	  0.0000
  4.4739	  1.0000
  4.5105	  0.0000
  4.4678	  1.0000
  4.5410	  0.0000
  4.4922	  0.0000
  4.4373	  0.0000
  4.4495	  0.0000
  4.4861	  1.0000
  4.4678	  0.0000
  4.4617	  0.0000
  4.4617	  0.0000
  4.4556	  0.0000
  4.4739	  1.0000
  4.4678	  0.0000
  4.4800	  1.0000
  4.4983	  1.0000
  4.4861	  0.0000
  4.4861	  0.0000
  4.4678	  0.0000
  4.4495	  0.0000
  4.4495	  0.0000
  4.4495	  0.0000
  4.4800	  0.0000
  4.4739	  0.0000
  4.4800	  1.0000
  4.4983	  0.0000
  4.4556	  0.0000
  4.4800	  0.0000
  4.4495	  0.0000
  4.4678	  3.0000
  4.4739	  1.0000
  4.4617	  0.0000
  4.4312	  0.0000
  4.4617	  3.0000
  4.4434	  1.0000
  4.4617	  0.0000
  4.4678	  0.0000
  4.4800	  1.0000
  4.4983	  0.0000
  4.4617	  0.0000
  4.4739	  0.0000
  4.4678	  0.0000
  4.4739	  0.0000
  4.4800	  0.0000
  4.4373	  2.0000
  4.4922	  0.0000
  4.4861	  0.0000
  4.4739	  2.0000
  4.4861	  1.0000
  4.4556	  0.0000
  4.4617	  0.0000
  4.4739	  0.0000
  4.4678	  1.0000
  4.4800	  0.0000
  4.4312	  0.0000
  4.4739	  0.0000
  4.4678	  0.0000
  4.4739	  2.0000
  4.4495	  0.0000
  4.4495	  0.0000
  4.4495	  0.0000
  4.4800	  0.0000
  4.4312	  0.0000
  4.4617	  0.0000
  4.4556	  0.0000
  4.4678	  1.0000
  4.4800	  0.0000
  4.4861	  0.0000
  4.4922	  0.0000
  4.4800	  0.0000
  4.4495	  0.0000
  4.4250	  0.0000
  4.4556	  0.0000
  4.4739	  0.0000
  4.4800	  0.0000
  4.4434	  0.0000
  4.4617	  1.0000
  4.4434	  0.0000
  4.4556	  0.0000
  4.4922	  0.0000
  4.4922	  0.0000
  4.4678	  2.0000
  4.4495	  0.0000
  4.4373	  0.0000
  4.4983	  0.0000
  4.4922	  2.0000
  4.4922	  0.0000
  4.4922	  1.0000
  4.4556	  0.0000
  4.4617	  0.0000
  4.4922	  0.0000
  4.4739	  0.0000
  4.4800	  1.0000
  4.4861	  0.0000
  4.4922	  0.0000
  4.4922	  0.0000
  4.4739	  1.0000
  4.4617	  1.0000
  4.4556	  1.0000
  4.4800	  0.0000
  4.4739	  0.0000
  4.4861	  1.0000
  4.4617	  0.0000
  4.4678	  0.0000
  4.4250	  0.0000
  4.4373	  1.0000
  4.4312	  0.0000
  4.4922	  0.0000
  4.4617	  0.0000
  4.4800	  2.0000
  4.4556	  0.0000
  4.4800	  0.0000
  4.4739	  0.0000
  4.4434	  0.0000
  4.4495	  0.0000
  4.4617	  1.0000
  4.4678	  0.0000
  4.4678	  0.0000
  4.4678	  0.0000
  4.4495	  0.0000
  4.4312	  0.0000
  4.4800	  0.0000
  4.4434	  0.0000
  4.4678	  0.0000
  4.4556	  0.0000
  4.4983	  0.0000
  4.4800	  0.0000
  4.4800	  1.0000
  4.4922	  0.0000
  4.4861	  0.0000
  4.4800	  0.0000
  4.4861	  2.0000
  4.4739	  1.0000
  4.4922	  0.0000
  4.4800	  1.0000
  4.4617	  2.0000
  4.4556	  0.0000
  4.4800	  0.0000
  4.4373	  0.0000
  4.4739	  0.0000
  4.4556	  1.0000
  4.4556	  0.0000
  4.4678	  0.0000
  4.4922	  0.0000
  4.4617	  0.0000
  4.4434	  0.0000
  4.4739	  0.0000
  4.4434	  0.0000
  4.4922	  0.0000
  4.4189	  1.0000
  4.4617	  1.0000
  4.4617	  0.0000
  4.4556	  1.0000
  4.4434	  0.0000
  4.4617	  0.0000
  4.4617	  0.0000
  4.4617	  0.0000
  4.4861	  0.0000
  4.4495	  0.0000
  4.4495	  0.0000
  4.4556	  0.0000
  4.4434	  0.0000
  4.4556	  0.0000
  4.4739	  0.0000
  4.4617	  0.0000
  4.4739	  0.0000
  4.4556	  0.0000
  4.4922	  0.0000
  4.4617	  1.0000
  4.4373	  0.0000
  4.4678	  0.0000
  4.4617	  0.0000
  4.4556	  0.0000
  4.4678	  0.0000
  4.4556	  0.0000
  4.4556	  0.0000
  4.4556	  0.0000
  4.4861	  1.0000
  4.4617	  1.0000
  4.4739	  1.0000
  4.4556	  0.0000
  4.4678	  0.0000
  4.4617	  0.0000
  4.4556	  0.0000
  4.4678	  0.0000
  4.4434	  0.0000
  4.4922	  0.0000
  4.4739	  0.0000
  4.4678	  0.0000
  4.4739	  0.0000
  4.4800	  0.0000
  4.4800	  0.0000
  4.4739	  0.0000
  4.4556	  0.0000
  4.4861	  1.0000
  4.4556	  0.0000
  4.4739	  0.0000
  4.4556	  0.0000
  4.4495	  0.0000
  4.4434	  0.0000
  4.4800	  0.0000
  4.4678	  0.0000
  4.4800	  0.0000
  4.4617	  3.0000
  4.4678	  2.0000
  4.4800	  1.0000
  4.4739	  0.0000
  4.4250	  0.0000
  4.4861	  1.0000
  4.4861	  0.0000
  4.5105	  0.0000
  4.4739	  0.0000
  4.4922	  0.0000
  4.5227	  1.0000
  4.4678	  1.0000
  4.4678	  0.0000
  4.4495	  0.0000
  4.4678	  2.0000
  4.4495	  0.0000
  4.4312	  1.0000
  4.4495	  0.0000
  4.4800	  0.0000
  4.4678	  1.0000
  4.4556	  0.0000
  4.4556	  0.0000
  4.4983	  0.0000
  4.4617	  1.0000
  4.4678	  0.0000
  4.4617	  1.0000
  4.4800	  0.0000
  4.4800	  1.0000
  4.4617	  0.0000
  4.4861	  0.0000
  4.4556	  0.0000
  4.4861	  1.0000
  4.4983	  0.0000
  4.4678	  1.0000
  4.4800	  1.0000
  4.4434	  0.0000
  4.4678	  1.0000
  4.4861	  0.0000
  4.4800	  1.0000
  4.4922	  2.0000
  4.4434	  1.0000
  4.4678	  0.0000
  4.4434	  0.0000
  4.4556	  1.0000
  4.4617	  0.0000
  4.4861	  0.0000
  4.4617	  1.0000
  4.4556	  0.0000
  4.4922	  0.0000
  4.4556	  0.0000
  4.4495	  0.0000
  4.4739	  0.0000
  4.4739	  0.0000
  4.4739	  0.0000
  4.4861	  0.0000
  4.4617	  1.0000
  4.4739	  2.0000
  4.4556	  0.0000
  4.4617	  0.0000
  4.4556	  0.0000
  4.4556	  0.0000
  4.4678	  1.0000
  4.4495	  0.0000
  4.4617	  1.0000
  4.4617	  0.0000
  4.4556	  1.0000
  4.4739	  0.0000
  4.4312	  2.0000
  4.4556	  0.0000
  4.4678	  0.0000
  4.4739	  1.0000
  4.4922	  0.0000
  4.4861	  1.0000
  4.4861	  0.0000
  4.4800	  0.0000
  4.4861	  0.0000
  4.4983	  0.0000
  4.4861	  0.0000
  4.4800	  0.0000
  4.4495	  1.0000
  4.4678	  2.0000
  4.4739	  0.0000
  4.4739	  0.0000
  4.4495	  0.0000
  4.4739	  0.0000
  4.4495	  1.0000
  4.4678	  2.0000
  4.4617	  0.0000
  4.4922	  1.0000
  4.4800	  1.0000
  4.4556	  0.0000
  4.4922	  0.0000
  4.4739	  0.0000
  4.4800	  0.0000
  4.4922	  0.0000
  4.4861	  0.0000
  4.4678	  1.0000
  4.4617	  0.0000
  4.4617	  1.0000
  4.4800	  0.0000
  4.4800	  1.0000
  4.4739	  1.0000
  4.4434	  0.0000
  4.4739	  0.0000
  4.4617	  0.0000
  4.4983	  0.0000
  4.4678	  1.0000
  4.4800	  0.0000
  4.4617	  0.0000
  4.5044	  1.0000
  4.4617	  0.0000
  4.4739	  0.0000
  4.4739	  0.0000
  4.4800	  0.0000
  4.4739	  0.0000
  4.4739	  1.0000
  4.4861	  1.0000
  4.4495	  0.0000
  4.4800	  1.0000
  4.4800	  1.0000
  4.4617	  1.0000
  4.4861	  0.0000
  4.4922	  0.0000
  4.4861	  0.0000
  4.4617	  0.0000
  4.4739	  1.0000
  4.4800	  1.0000
  4.4556	  0.0000
  4.4800	  0.0000
  4.4617	  0.0000
  4.4495	  1.0000
  4.4800	  4.0000
  4.4678	  1.0000
  4.4495	  0.0000
  4.4556	  1.0000
  4.4922	  1.0000
  4.4739	  0.0000
  4.4678	  1.0000
  4.4739	  0.0000
  4.4434	  0.0000
  4.4617	  0.0000
  4.4983	  0.0000
  4.4495	  2.0000
  4.4678	  1.0000
  4.4983	  0.0000
  4.4434	  0.0000
  4.4556	  0.0000
  4.4250	  0.0000
  4.4861	  0.0000
  4.4556	  2.0000
  4.5044	  1.0000
  4.4373	  0.0000
  4.5227	  1.0000
  4.4983	  1.0000
  4.4739	  0.0000
  4.4617	  0.0000
  4.4556	  0.0000
  4.4556	  0.0000
  4.4739	  2.0000
  4.4739	  1.0000
  4.4434	  1.0000
  4.4922	  0.0000
  4.4434	  0.0000
  4.4678	  2.0000
  4.4739	  0.0000
  4.4617	  0.0000
  4.5044	  0.0000
  4.4495	  1.0000
  4.4861	  0.0000
  4.4800	  0.0000
  4.4556	  0.0000
  4.4556	  1.0000
  4.4556	  0.0000
  4.4373	  0.0000
  4.4556	  0.0000
  4.4434	  0.0000
  4.4861	  1.0000
  4.4800	  2.0000
  4.4556	  0.0000
  4.4434	  0.0000
  4.4739	  0.0000
  4.4678	  1.0000
  4.4678	  0.0000
  4.4800	  0.0000
  4.4678	  1.0000
  4.4678	  0.0000
  4.4678	  0.0000
  4.4678	  3.0000
  4.4678	  0.0000
  4.4617	  0.0000
  4.4495	  0.0000
  4.4495	  0.0000
  4.4800	  0.0000
  4.4922	  0.0000
  4.4922	  0.0000
  4.4312	  1.0000
  4.4861	  1.0000
  4.4861	  0.0000
  4.4556	  0.0000
  4.4617	  0.0000
  4.4617	  0.0000
  4.4922	  0.0000
  4.4678	  0.0000
  4.4617	  1.0000
  4.4678	  0.0000
  4.4739	  0.0000
  4.4739	  0.0000
  4.4739	  0.0000
  4.4861	  0.0000
  4.4739	  0.0000
  4.4434	  0.0000
  4.4373	  0.0000
  4.4861	  0.0000
  4.4373	  0.0000
  4.4556	  0.0000
  4.4556	  1.0000
  4.4556	  2.0000
  4.4922	  0.0000
  4.4678	  0.0000
  4.4678	  0.0000
  4.4678	  1.0000
  4.4678	  1.0000
  4.4556	  2.0000
  4.4739	  0.0000
  4.4556	  0.0000
  4.4556	  0.0000
  4.4373	  0.0000
  4.4617	  1.0000
  4.4861	  1.0000
  4.4495	  0.0000
  4.4983	  0.0000
  4.4861	  3.0000
  4.4556	  0.0000
  4.4739	  0.0000
  4.4495	  0.0000
  4.4617	  0.0000
  4.4983	  0.0000
  4.4617	  0.0000
  4.4617	  0.0000
  4.4678	  0.0000
  4.4556	  0.0000
  4.4556	  1.0000
  4.4617	  0.0000
  4.4556	  0.0000
  4.4983	  0.0000
  4.4678	  0.0000
  4.4800	  0.0000
  4.4739	  1.0000
  4.4373	  0.0000
  4.4556	  1.0000
  4.4861	  0.0000
  4.4739	  0.0000
  4.4739	  1.0000
  4.4556	  0.0000
  4.4556	  0.0000
  4.4678	  0.0000
  4.5044	  1.0000
  4.4373	  0.0000
  4.4800	  0.0000
  4.4556	  0.0000
